id,liquid_path,container_path,liquid_mask_path,container_mask_path,volume_ml,vol_ves,rgb_path
0,0/Input_ContentDepth_segmented.npy,0/Input_EmptyVessel_Depth.npy,0/Input_ContentMaskClean.npy,0/Input_VesselMask.npy,110.0,110.0,/home/edo/thesis/LiquidGenesis/vol_est/dataset/0/rgb.png
1,1/Input_ContentDepth_segmented.npy,1/Input_EmptyVessel_Depth.npy,1/Input_ContentMaskClean.npy,1/Input_VesselMask.npy,110.0,110.0,/home/edo/thesis/LiquidGenesis/vol_est/dataset/1/rgb.png
10,10/Input_ContentDepth_segmented.npy,10/Input_EmptyVessel_Depth.npy,10/Input_ContentMaskClean.npy,10/Input_VesselMask.npy,110.0,110.0,/home/edo/thesis/LiquidGenesis/vol_est/dataset/10/rgb.png
100,100/Input_ContentDepth_segmented.npy,100/Input_EmptyVessel_Depth.npy,100/Input_ContentMaskClean.npy,100/Input_VesselMask.npy,151.0,151.0,/home/edo/thesis/LiquidGenesis/vol_est/dataset/100/rgb.png
1000,1000/Input_ContentDepth_segmented.npy,1000/Input_EmptyVessel_Depth.npy,1000/Input_ContentMaskClean.npy,1000/Input_VesselMask.npy,580.0,580.0,/home/edo/thesis/LiquidGenesis/vol_est/dataset/1000/rgb.png
1001,1001/Input_ContentDepth_segmented.npy,1001/Input_EmptyVessel_Depth.npy,1001/Input_ContentMaskClean.npy,1001/Input_VesselMask.npy,580.0,580.0,/home/edo/thesis/LiquidGenesis/vol_est/dataset/1001/rgb.png
1002,1002/Input_ContentDepth_segmented.npy,1002/Input_EmptyVessel_Depth.npy,1002/Input_ContentMaskClean.npy,1002/Input_VesselMask.npy,580.0,580.0,/home/edo/thesis/LiquidGenesis/vol_est/dataset/1002/rgb.png
1003,1003/Input_ContentDepth_segmented.npy,1003/Input_EmptyVessel_Depth.npy,1003/Input_ContentMaskClean.npy,1003/Input_VesselMask.npy,580.0,580.0,/home/edo/thesis/LiquidGenesis/vol_est/dataset/1003/rgb.png
1004,1004/Input_ContentDepth_segmented.npy,1004/Input_EmptyVessel_Depth.npy,1004/Input_ContentMaskClean.npy,1004/Input_VesselMask.npy,580.0,580.0,/home/edo/thesis/LiquidGenesis/vol_est/dataset/1004/rgb.png
1005,1005/Input_ContentDepth_segmented.npy,1005/Input_EmptyVessel_Depth.npy,1005/Input_ContentMaskClean.npy,1005/Input_VesselMask.npy,580.0,580.0,/home/edo/thesis/LiquidGenesis/vol_est/dataset/1005/rgb.png
1006,1006/Input_ContentDepth_segmented.npy,1006/Input_EmptyVessel_Depth.npy,1006/Input_ContentMaskClean.npy,1006/Input_VesselMask.npy,580.0,580.0,/home/edo/thesis/LiquidGenesis/vol_est/dataset/1006/rgb.png
1007,1007/Input_ContentDepth_segmented.npy,1007/Input_EmptyVessel_Depth.npy,1007/Input_ContentMaskClean.npy,1007/Input_VesselMask.npy,580.0,580.0,/home/edo/thesis/LiquidGenesis/vol_est/dataset/1007/rgb.png
1008,1008/Input_ContentDepth_segmented.npy,1008/Input_EmptyVessel_Depth.npy,1008/Input_ContentMaskClean.npy,1008/Input_VesselMask.npy,580.0,580.0,/home/edo/thesis/LiquidGenesis/vol_est/dataset/1008/rgb.png
1009,1009/Input_ContentDepth_segmented.npy,1009/Input_EmptyVessel_Depth.npy,1009/Input_ContentMaskClean.npy,1009/Input_VesselMask.npy,580.0,580.0,/home/edo/thesis/LiquidGenesis/vol_est/dataset/1009/rgb.png
101,101/Input_ContentDepth_segmented.npy,101/Input_EmptyVessel_Depth.npy,101/Input_ContentMaskClean.npy,101/Input_VesselMask.npy,151.0,151.0,/home/edo/thesis/LiquidGenesis/vol_est/dataset/101/rgb.png
1010,1010/Input_ContentDepth_segmented.npy,1010/Input_EmptyVessel_Depth.npy,1010/Input_ContentMaskClean.npy,1010/Input_VesselMask.npy,580.0,580.0,/home/edo/thesis/LiquidGenesis/vol_est/dataset/1010/rgb.png
1011,1011/Input_ContentDepth_segmented.npy,1011/Input_EmptyVessel_Depth.npy,1011/Input_ContentMaskClean.npy,1011/Input_VesselMask.npy,580.0,580.0,/home/edo/thesis/LiquidGenesis/vol_est/dataset/1011/rgb.png
1012,1012/Input_ContentDepth_segmented.npy,1012/Input_EmptyVessel_Depth.npy,1012/Input_ContentMaskClean.npy,1012/Input_VesselMask.npy,580.0,580.0,/home/edo/thesis/LiquidGenesis/vol_est/dataset/1012/rgb.png
1013,1013/Input_ContentDepth_segmented.npy,1013/Input_EmptyVessel_Depth.npy,1013/Input_ContentMaskClean.npy,1013/Input_VesselMask.npy,580.0,580.0,/home/edo/thesis/LiquidGenesis/vol_est/dataset/1013/rgb.png
